FALLS (UKEMI),,,,,,,,,,,,,,,,
Back Fall (Ushiro Ukemi),32,45,x,,x,,x,,x,,x,,x,,x,
Side Fall (Yoko Ukemi),30,48,x,,x,,x,,x,,x,,x,,x,
Front Fall (Mae Ukemi),,51,,,x,,x,,x,,x,,x,,x,
ROLLS (KAITEN UKEMI),,,,,,,,,,,,,,,,
Front Roll (Zempo Kaiten Ukemi),"34, 36",52,,,x,,x,,x,,x,,x,,x,
OFF-BALANCING (KUSUSHI),,,,,,,,,,,,,,,,
Eight Ways Off-Balancing (Happo No Kusushi),,,x,,x,,x,,x,,x,,x,,x,
ARM/HAND TECHNIQUES (UDE/TE WAZA),,,,,,,,,,,,,,,,
Waki Gatame (Armpit Lock),[130],129,x,,x,,x,,x,,x,,x,,x,
Kote Gaeshi (Wrist Reversal),"52 [154,158]",,x,,x,,x,,x,,x,,x,,x,
Kote Hineri (Wrist Twist),"58, 84 [168]",,,,x,,x,,x,,x,,x,,x,
Shiho Nage (Four Directions Throw),"94, 96",,,,x,,x,,x,,x,,x,,x,
Ude Garame (Arm Entanglement) ,"60, 116",125,,,,,x,,x,,x,,x,,x,
Elbow Takedown,"98, 104, 106",,,,,,x,,x,,x,,x,,x,
Hammer Lock,"84 [132,160]",,,,,,,,x,,x,,x,,x,
Wristlock Takedown,92,,,,,,,,x,,x,,x,,x,
Kote Mawashi (Wrist Turn),"[164, 166]",,,,,,,,,,x,,x,,x,
Yubi Nage (Finger Throw),"74, 88 [162,170]",,,,,,,,,,x,,x,,x,
Oshi Taoshi (Push Down) [Elbow Roll] ,"104, 106",,,,,,,,,,,,x,,x,
Ude Gatame (Arm Lock) ,,"127, 195",,,,,,,,,,,,,x,
NERVE TECHNIQUES (SHIOKU WAZA),,,,,,,,,,,,,,,,
Trachea Thrust,48,,,,x,,x,,x,,x,,x,,x,
Mastoid Press,66,,,,,,,,,,,,x,,x,
Radial Nerve,,,,,,,,,,,,,,,x,
GROUND TECHNIQUES (NE WAZA)  ,,,,,,,,,,,,,,,,
,POSITIONS,,,,,,,,,,,,,,,
Guard,,,x,,x,,x,,x,,x,,x,,x,
Mount,,,,,x,,x,,x,,x,,x,,x,
Back Mount (Figure 4),,,,,,,x,,x,,x,,x,,x,
,PINS (OSAE-KOMI WAZA),,,,,,,,,,,,,,,
Hon Kesa Gatame (Scarf Hold),,"110, 161",x,,x,,x,,x,,x,,x,,x,
Yoko Shiho Gatame (Side 4-corner hold),,"115, 164",,,x,,x,,x,,x,,x,,x,
Kata Gatame (Shoulder Hold),,"112, 162",,,,,x,,x,,x,,x,,x,
Kami Shiho Gatame (Top 4-corner hold),,"113, 163",,,,,x,,x,,x,,x,,x,
,ESCAPES,,,,,,,,,,,,,,,
From Guard,,,x,,x,,x,,x,,x,,x,,x,
From Mount Position,,,,,x,,x,,x,,x,,x,,x,
From Hon Kesa Gatame (Scarf Hold),,111,,,,,x,,x,,x,,x,,x,
From Yoko Shiho Gatame (Side 4-corner hold),,115,,,,,,,,,x,,x,,x,
From Kata Gatame (Shoulder Hold),,112,,,,,,,,,,,x,,x,
Fron Kami Shiho Gatame (Top 4-corner hold),,113,,,,,,,,,,,x,,x,
,JOINT LOCKS (KANSETSU WAZA),,,,,,,,,,,,,,,
Juji Gatame (Cross Lock) ,,"126, 169",x,,x,,x,,x,,x,,x,,x,
Ude Garame (Arm Entanglement),,"125, 169",,,x,,x,,x,,x,,x,,x,
Sankaku Gatame (Triangle Lock),,"124, 130",,,,,x,,x,,x,,x,,x,
Waki Gatame (Armpit Lock),,129,,,,,,,x,,x,,x,,x,
Ude Gatame (Arm Lock),,"127, 170",,,,,,,,,x,,x,,x,
Hiza Gatame (Knee Lock),,"130, 170",,,,,,,,,,,,,x,
,CHOKES (SHIME WAZA),,,,,,,,,,,,,,,
Hadaka-jime (Naked Choke) ,,"120,166",x,,x,,x,,x,,x,,x,,x,
Kata-ha-jime (Single-wing Lock)  ,,"122, 167",,,x,,x,,x,,x,,x,,x,
Gyaku-juji-jime (Reverse Cross Lock),,"118, 168",,,,,x,,x,,x,,x,,x,
Okuri-eri-jime (Sliding Collar Lock),,"121, 166",,,,,x,,x,,x,,x,,x,
Nami-juji-jime (Normal Cross Lock),,"117, 165",,,,,x,,x,,x,,x,,x,
Kata-juji-jime (Half-cross Lock) ,,"119, 165",,,,,,,x,,x,,x,,x,
Sode-guruma-jime (Sleeve Wheel Choke),,123,,,,,,,,,,,x,,x,
Guillotine choke,,,,,,,,,,,,,,,x,
STRIKING TECHNIQUES (ATEMI WAZA) ,,,,,,,,,,,,,,,,
,HAND AND ARM STRIKES (UCHI),,,,,,,,,,,,,,,
Jab,,,x,,x,,x,,x,,x,,x,,x,
Hook,,,x,,x,,x,,x,,x,,x,,x,
Cross,,,x,,x,,x,,x,,x,,x,,x,
Straight Punch ,,,x,,x,,x,,x,,x,,x,,x,
Upper cut,,,x,,x,,x,,x,,x,,x,,x,
Palm Strike,,,,,x,,x,,x,,x,,x,,x,
Chop ,,,,,x,,x,,x,,x,,x,,x,
Backhand,[106],,,,,,x,,x,,x,,x,,x,
Elbow Strike,[88],,,,,,,,x,,x,,x,,x,
(Head Butt),,,,,,,,,,,x,,x,,x,
,KICKING TECHNIQUES (GERI WAZA),,,,,,,,,,,,,,,
Mae Geri (Front Kick),,,x,,x,,x,,x,,x,,x,,x,
Roundhouse Kick,,,,,x,,x,,x,,x,,x,,x,
Side Kick,,,,,,,x,,x,,x,,x,,x,
Fumi (Stomp) ,,,x,,x,,x,,x,,x,,x,,x,
Back Kick,,,,,,,,,x,,x,,x,,x,
,,,,,,,,,,,,,,,,
DEFENSES AGAINST STRIKES/KICKS,,,,,,,,,,,,,,,,
,Blocking (Te No Tatake) ,,,,,,,,,,,,,,,
,,Jodan (High-Level),,,,,,,,,,,,,,
Single-arm block,,,x,,x,,x,,x,,x,,x,,x,
Juji (Cross block),,,,,x,,x,,x,,x,,x,,x,
,,Chudan (Middle-Level),,,,,,,,,,,,,,
Outside,,,x,,x,,x,,x,,x,,x,,x,
Inside,,,x,,x,,x,,x,,x,,x,,x,
Circle/Arc,,,x,,x,,x,,x,,x,,x,,x,
Arm Traps,,,,,x,,x,,x,,x,,x,,x,
,,Gedan (Low-Level),,,,,,,,,,,,,,
Single-arm block,,,x,,x,,x,,x,,x,,x,,x,
Down chop,,,,,x,,x,,x,,x,,x,,x,
Cross block (juji block),,,,,x,,x,,x,,x,,x,,x,
Leg trap,,,,,,,x,,x,,x,,x,,x,
THROWING TECHNIQUES (NAGE WAZA),,,,,,,,,,,,,,,,
,STANDING TECHNIQUES (TACHI WAZA),,,,,,,,,,,,,,,
